TimeStamp;Live_Power;EVSE_Current_power;shaper_max_power;Charging_Current;Current_Capacity;FirmWare
17/12/2023 15:05:12;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:13;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:14;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:15;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:16;7523.87000000000;7101.78926000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:17;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:18;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:19;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:20;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:21;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:22;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:23;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:24;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:25;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:26;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:27;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:28;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:29;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:30;7523.87000000000;7101.78920000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:31;7497.44000000000;7097.10297000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:32;7497.44000000000;7097.10320000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:33;7497.44000000000;7097.10320000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:34;7497.44000000000;7097.10320000000;6400;31.2400000000000;31;V5.0.2
